iter	RMSE
0	0.7061985099
1	0.682881107
2	0.6557806202
3	0.6352756044
4	0.6087464673
5	0.5855797713
6	0.5674727735
7	0.5496103093
8	0.5307778754
9	0.5121195452
10	0.4986049966
11	0.4816946505
12	0.4658199174
13	0.4525751524
14	0.438688794
15	0.4229936805
16	0.4105829152
17	0.3965149625
18	0.3807389199
19	0.3653523178
20	0.3530972015
21	0.3423506809
22	0.3323985458
23	0.3203170765
24	0.3107929089
25	0.3008432944
26	0.2909392692
27	0.2830720592
28	0.2746656397
29	0.2666185575
30	0.2566495602
31	0.2482996263
32	0.2413987255
33	0.2336719351
34	0.2276173026
35	0.2210734681
36	0.2128400503
37	0.2066288453
38	0.1994175552
39	0.1941340702
40	0.1882174129
41	0.1835564745
42	0.1784357691
43	0.1728677602
44	0.1677883834
45	0.1628050799
46	0.1582494337
47	0.1538101168
48	0.1504451553
49	0.1464760861
50	0.1420848782
51	0.1382989723
52	0.1349498775
53	0.1312398567
54	0.1279372079
55	0.1244007532
56	0.120714074
57	0.1176488519
58	0.1142420698
59	0.1112984751
60	0.1081575206
61	0.1059573761
62	0.1029112907
63	0.1000167818
64	0.097620125
65	0.0952666607
66	0.09285121098
67	0.09069421556
68	0.08850137609
69	0.08638741714
70	0.08433197738
71	0.08221777856
72	0.08016247886
73	0.07817144261
74	0.07614328584
75	0.07412966941
76	0.0723175626
77	0.07053407206
78	0.06880490701
79	0.06712836984
80	0.06550283069
81	0.06392672412
82	0.06236095651
83	0.06087624958
84	0.05960391882
85	0.05829064471
86	0.05691829523
87	0.05577150714
88	0.05457057028
89	0.05324966917
90	0.0519738283
91	0.05073126492
92	0.04956342472
93	0.04845715424
94	0.04744679825
95	0.0459440143
96	0.04502139649
97	0.04390839922
98	0.04301215364
99	0.04214459738
100	0.04095251781
101	0.04013853054
102	0.03916724012
103	0.03843744518
104	0.03739286874
105	0.03663075218
106	0.03564482145
107	0.03504229061
108	0.03434443979
109	0.03342801723
110	0.03271782526
111	0.03170434493
112	0.03087172463
113	0.03030313053
114	0.02981604024
115	0.02890845313
116	0.02845205769
117	0.02801192307
118	0.02741884378
119	0.02685092611
120	0.02639840112
121	0.02571263728
122	0.02496541582
123	0.02455006536
124	0.02391881099
125	0.02323540137
126	0.02273241448
127	0.0222567112
128	0.02190117706
129	0.02119186717
130	0.02074460107
131	0.02026965984
132	0.01986246244
133	0.01947417555
134	0.01918093128
135	0.0186676424
136	0.01823187224
137	0.01779627819
138	0.01739113108
139	0.01698507463
140	0.01660838258
141	0.01623327383
142	0.01587969526
143	0.01546671442
144	0.01511599452
145	0.01473331702
146	0.01440728493
147	0.01406742015
148	0.01379192229
149	0.01349464135
150	0.01323707804
151	0.01289698021
152	0.01260516935
153	0.01222678842
154	0.01194400153
155	0.01167431203
156	0.0114268365
157	0.01119074384
158	0.0109874761
159	0.01078904978
160	0.01061373005
161	0.0104464357
162	0.01028668649
163	0.01013404764
164	0.009988124312
165	0.009808520454
166	0.009552147867
167	0.009326219219
168	0.009197545661
169	0.008985202074
170	0.008865564234
171	0.008647268575
172	0.008394568869
173	0.008204097385
174	0.007986753116
175	0.007757258122
176	0.007587071756
177	0.007425623464
178	0.007238115045
179	0.00708988188
180	0.006949264766
181	0.006782716671
182	0.006594430432
183	0.006468849087
184	0.006352370517
185	0.006142907814
186	0.006056186142
187	0.005859165099
188	0.005778670454
189	0.005590360184
190	0.005413076974
191	0.005246158033
192	0.005174228068
193	0.005048280782
194	0.004932349841
195	0.004872047642
196	0.004737883656
197	0.004608813975
198	0.004557226715
199	0.004434366423
